epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,293.538,1.45676,1.15951,1.06106,0.98135,0.96492,0.98117,0.60369,1.37844,0.59082,1.06574,0.0033319,0.0033319,0.0033319
2,571.211,1.39103,0.63018,1.04797,0.98718,0.97605,0.98656,0.62825,1.34577,0.52917,1.06504,0.00665204,0.00665204,0.00665204
3,839.935,1.38554,0.61639,1.05663,0.98663,0.97335,0.98589,0.62938,1.3461,0.52277,1.07974,0.00995898,0.00995898,0.00995898
4,1108.54,1.36681,0.59701,1.05791,0.98769,0.97865,0.98634,0.64438,1.30383,0.47642,1.06289,0.0099406,0.0099406,0.0099406
5,1377.36,1.33126,0.56209,1.04594,0.98961,0.98363,0.98989,0.65323,1.27252,0.44859,1.05236,0.0099208,0.0099208,0.0099208
6,1645.87,1.30798,0.54235,1.04,0.99003,0.98303,0.98863,0.66482,1.25223,0.42912,1.04275,0.009901,0.009901,0.009901
7,1914.78,1.28861,0.52757,1.03263,0.98902,0.98395,0.99024,0.6655,1.24066,0.41802,1.03929,0.0098812,0.0098812,0.0098812
8,2183.53,1.27817,0.52004,1.02953,0.9859,0.98286,0.99203,0.6765,1.22481,0.4092,1.03369,0.0098614,0.0098614,0.0098614
9,2452.24,1.26807,0.51565,1.02646,0.98826,0.98351,0.99169,0.67933,1.21802,0.40366,1.03093,0.0098416,0.0098416,0.0098416
10,2721.17,1.25635,0.50737,1.02211,0.98786,0.98501,0.99213,0.68025,1.20704,0.39793,1.0269,0.0098218,0.0098218,0.0098218
11,2990.25,1.24617,0.50199,1.02015,0.98766,0.9824,0.99252,0.68385,1.19937,0.39399,1.02468,0.009802,0.009802,0.009802
12,3259.1,1.24508,0.50133,1.01942,0.9878,0.98357,0.99235,0.6868,1.19512,0.39146,1.02325,0.0097822,0.0097822,0.0097822
13,3528.09,1.23802,0.49661,1.01601,0.9871,0.98459,0.99233,0.68844,1.19138,0.38934,1.02209,0.0097624,0.0097624,0.0097624
14,3796.8,1.23158,0.49205,1.01472,0.98757,0.9847,0.99235,0.68933,1.18741,0.38739,1.02075,0.0097426,0.0097426,0.0097426
15,4065.46,1.227,0.48934,1.01296,0.98789,0.9847,0.99233,0.68974,1.18429,0.38569,1.0198,0.0097228,0.0097228,0.0097228
16,4334.21,1.21923,0.48698,1.01135,0.98775,0.98477,0.99232,0.691,1.18173,0.38426,1.01899,0.009703,0.009703,0.009703
17,4602.94,1.21807,0.48583,1.01085,0.98796,0.98456,0.9922,0.69121,1.1788,0.3831,1.01806,0.0096832,0.0096832,0.0096832
